"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"Wisconsin","","United States","","","","","","","237","0","","","0","0","0","","United States","","","","","","","","","","","","","","","","",""
"Council of Presidents","","United States","","","","","","","238","0","","","0","0","0","","United States","","","","","","","","","","","","","","","","",""
"Mark Kelly / AI Ireland","","","","","","","","","239","1","","2025-04-10","1","0","1","","","","","","","","","","","","","","","","","","",""
"Dr Alan Smeaton / DCU","Cold lead","","","","","","","","241","1","","2025-12-10","11","0","0","","","","","","","","","","","","","","","","","","",""
"TIGIM","","","","","","","","","242","1","","2025-10-11","2","0","1","","","","","","","","","","","","","","","","","","",""
"The HR Suite","","","","","","","","","243","1","","2025-11-05","3","0","1","","","","","","","","","","","","","","","","","","",""
"SkillStudio","","","","","","","","","244","0","","2025-12-02","18","0","0","","Lisbon, Portugal","","","","","","","","","","","","","","","","",""
"Dara Dotson / GWRAB","","","","","","","","","245","1","","2025-12-29","10","0","24","","","","","","","","","","","","","","","","","","",""
"SkillStudio","","","","","","","","","246","1","","2025-11-12","4","0","0","","","","","","","","","","","","","","","","","","",""
"Paul Essery / The Chief Uncensored","","","","","Technology, information and media","","","","247","1","","2025-07-11","1","0","0","","","","","","","","","","","","","","","","","","",""
"Cresyx AI Labs","","","","","","","","","249","1","","2025-11-19","4","0","0","","","","","","","","","","","","","","","","","","",""
"Shopify","","Canada","","","","","","","250","0","","2025-11-05","2","0","0","","ON, Ottawa, Canada","","","","","","","","","","","","","","","","",""
"North Bay Angels","","United States","northbayangels.com","https://linkedin.com/company/92664239","","","","","251","1","","2025-11-16","5","0","0","","95448, California, Healdsburg, United States","","","","","","","","","","","","","","","","",""
"Construction Industry Federation (CIF)","","Ireland","cif.ie","https://linkedin.com/company/310602","","","","","252","0","","2025-11-13","5","0","0","","Canal Road, Dublin 6, Ireland","","","","","","","","","","","","","","","","",""
"Unicorn Factory Lisboa","","Portugal","unicornfactorylisboa.com","https://linkedin.com/company/86464384","","","","","253","1","","2025-11-07","7","0","0","","Lisboa, Portugal","","","","","","","","","","","","","","","","",""
"Sonny Labs","","","","","","","","","255","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Employer Solutions at Irish Life","","Ireland","irishlifeemployersolutions.ie","https://linkedin.com/company/3205937","","","","","256","1","","2025-11-06","2","0","0","","Lower Abbey Street, Dublin 1, Leinster, Dublin 1, Ireland","","","","","","","","","","","","","","","","",""
"Palladio GTM","Cold lead","","palladiogtm.com","https://www.linkedin.com/company/palladio-gtm","","","","","257","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Morgan, Lewis & Bockius","","United States","morganlewis.com","https://linkedin.com/company/5734","","","","","258","1","","2025-11-11","2","0","0","","2222 Market St, 19103, PA, Philadelphia, United States","","","","","","","","","","","","","","","","",""
"Mater Private Network","","Ireland","materprivate.ie","https://linkedin.com/company/7057284","","","","","259","1","","2025-09-24","8","0","1","","Eccles Street, D07 WKW8, Cork, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"University of Southampton","","GB","southampton.ac.uk","https://www.linkedin.com/school/university-of-southampton/","","","10610","http://www.southampton.ac.uk/","260","1","","2025-11-16","8","0","0","","Southampton, SO17, GB","","","","","","","","","","","","","","","","",""
"AI for Good Foundation","","United States","ai4good.org","https://linkedin.com/company/11478660","","","","","261","1","","","0","0","0","","California, El Cerrito, United States","","","","","","","","","","","","","","","","",""
"SegmentStream","","United Kingdom","segmentstream.com","https://linkedin.com/company/18603659","","","","","262","1","","2025-11-12","1","0","1","","86-90 Paul Street, EC2A 4NE, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Enterprise Ireland","","Ireland","enterprise-ireland.com","https://linkedin.com/company/7652","","","","","263","0","","","0","0","0","","East Point Business Park, D03 E5R6, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Nex.AI","","","","","","","","","264","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Oxford University Press","","","","","","","","","265","1","","","0","0","3","","","","","","","","","","","","","","","","","","",""
"Sumsub","Warm lead","","epichey.dev","","","","","","266","2","","2025-12-02","3","0","6","","","","","","","","","","","","","","","","","","",""
"Grupo ETE","Warm lead","PT","ete.pt","https://www.linkedin.com/company/grupoete","","","637","https://www.ete.pt","267","0","","2025-12-02","6","0","0","","Lisboa, 1200-129, PT","","","","","","","","","","","","","","","","",""
"WhiteSpaceInc","Cold lead","","","https://www.linkedin.com/company/white-space-incubator","","","3","http://wspaceinc.com","268","1","","2025-11-16","1","0","5","","","","","","","","","","","","","","","","","","",""
"Openjobmetis SpA","","IT","","https://www.linkedin.com/company/openjobmetis-spa","","","1823","","269","1","","2025-11-20","4","0","2","","Gallarate, 21013, IT","","","","","","","","","","","","","","","","",""
"Infante & Riu - Portugal Real Estate and Investments","Warm lead","","","","","","","","270","1","","2025-11-19","3","0","9","","","","","","","","","","","","","","","","","","",""
"Dopster","Warm lead","","","","","","","","272","1","","","0","0","0","","Brazil, Sao Paulo, Sao Paulo","","","","","","","","","","","","","","","","",""
"MAP Digital: MetaMeetings®","","US","","https://www.linkedin.com/company/mapmeetings","","","28","http://www.mapdigital.com","274","1","","2025-11-20","11","0","14","","New York, 10002, US","","","","","","","","","","","","","","","","",""
"Cosmic Development","","","","","","","","","276","1","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"Asia Alternatives Management LLC","","","","","","","","","277","0","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"KPMG","","","kpmg.com","https://linkedin.com/company/2525300","Professional services","","","","278","3","","2025-12-02","4","0","7","","","","","","","","","","","","","","","","","","",""
"KPMG Brasil","","","","","","","","","279","0","","2025-12-02","3","0","0","","","","","","","","","","","","","","","","","","",""
"EuroBic Grupo ABANCA","","PT","","https://www.linkedin.com/company/eurobicgrupoabanca","","","668","https://www.eurobicabanca.pt","280","1","2026-01-19","2025-12-03","7","1","6","","Lisboa, 1050-020, PT","","","","","","","","","","","","","","","","",""
"DataRep - Data Protection Representatives","","","","","","","","","281","1","","2025-11-26","20","0","3","","","","","","","","","","","","","","","","","","",""
"Construction Industry Federation (CIF)","","IE","","https://www.linkedin.com/company/cif_2","","","165","https://cif.ie/","282","1","","2025-11-16","1","0","0","","Dublin 6, IE","","","","","","","","","","","","","","","","",""
"Altos Planos Collective","","United States","mijenta-tequila.com","https://linkedin.com/company/75393060","","","","","283","0","","2025-11-13","1","0","0","","5960 Berkshire Ln, 75225, Texas, Dallas, United States","","","","","","","","","","","","","","","","",""
"UCD Innovation Academy","","Ireland","innovationacademy.ie","https://linkedin.com/company/2665735","","","","","284","1","","2025-12-11","1","0","0","","O’Brien Science Centre, Belfield Campus,, Dublin 4, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Barclays UK","","United Kingdom","search.jobs.barclays","https://linkedin.com/company/2623994","","","","","285","0","","2025-11-16","3","0","0","","1 Churchill Place, London, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Workup","","United Kingdom","workup.cloud","https://linkedin.com/company/81291524","","","","","286","1","","2025-11-18","2","0","0","","STEAMHouse, B4 7RQ, England, Birmingham, United Kingdom","","","","","","","","","","","","","","","","",""
"Standfast Partners","","Ireland","standfast.partners","https://linkedin.com/company/106033521","","","","","287","1","","2025-11-25","7","0","3","","Ireland, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Perfect Documentation","Cold lead","United Kingdom","perfectdocumentation.com","https://linkedin.com/company/99196073","","","","","288","1","","2025-10-15","1","0","0","","London, United Kingdom","","","","","","","","","","","","","","","","",""
"Mendix","","United States","mendix.com","https://linkedin.com/company/42815","","","","","289","1","","2026-01-20","4","0","2","","22 Boston Wharf Rd, 02210, Massachusetts, Boston, United States","","","","","","","","","","","","","","","","",""
"CMS Reich-Rohrwig Hainz","","Austria","cms.law","https://linkedin.com/company/1665750","","","","","290","1","","2025-10-14","1","0","1","","Gauermanngasse 2, 1010, Wien, Austria","","","","","","","","","","","","","","","","",""
"SQUID","","Ireland","squidloyalty.ie","https://linkedin.com/company/14804087","","","","","291","1","","2025-10-06","1","0","1","","Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Happier at Work","","Ireland","happieratwork.ie","https://linkedin.com/company/33181190","","","","","292","1","","2025-10-06","6","0","0","","Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Santander Deutschland","","Germany","","https://linkedin.com/company/28810053","","","","","293","1","","2025-09-25","3","0","0","","Santander-Platz 1, 41061, Nordrhein-Westfalen, Mönchengladbach, Germany","","","","","","","","","","","","","","","","",""
"ComplyLoft","","Ireland","","https://linkedin.com/company/42782717","","","","","294","1","","2025-12-11","5","0","0","","Dublin, Ireland","","","","","","","","","","","","","","","","",""
"IBM","","United States","ibm.com","https://linkedin.com/company/1009","","","","","295","2","","2025-12-15","1","0","1","","International Business Machines Corp., 10504, NY, Armonk, New York, United States","","","","","","","","","","","","","","","","",""
"Glofy","","United States","glofy.co","https://linkedin.com/company/71695172","","","","","297","1","","2025-09-12","2","0","0","","Florida, Miami, United States","","","","","","","","","","","","","","","","",""
"Astra Mentors","","","astramentors.co","https://linkedin.com/company/104342294","","","","","298","1","","2025-09-12","1","0","0","","","","","","","","","","","","","","","","","","",""
"Oneview Healthcare","","Ireland","oneviewhealthcare.com","https://linkedin.com/company/469187","","","","","299","1","","2025-12-22","9","0","2","","Blackrock Business Park, Co. Dublin, Blackrock, Ireland","","","","","","","","","","","","","","","","",""
"Ireland Chapter of PMI","","Ireland","pmi-ireland.org","https://linkedin.com/company/765734","","","","","300","1","","2025-09-08","3","0","0","","Ireland, Ireland","","","","","","","","","","","","","","","","",""
"Microsoft","","United States","news.microsoft.com","https://linkedin.com/company/1035","","","","","301","0","","2025-09-04","6","0","0","","1 Microsoft Way, 98052, Washington, Redmond, United States","","","","","","","","","","","","","","","","",""
"Althris Training","","Ireland","althris.com","https://linkedin.com/company/3343877","","","","","302","1","","2025-11-19","3","0","1","","Sandyford Road, Dublin, Dublin 16, Ireland","","","","","","","","","","","","","","","","",""
